INFO: AFF0334A9:['P96BFE16A', 'PE5454E32', 'P640EC46E', 'P5A9111B3', 'P67621F3F', 'PDC6B3B70']
INFO: AA826DDA4:['PF41873B0', 'P55D22090', 'P161F64DD', 'PA9DA589E', 'P97B29B16', 'PDA0D15AD']
INFO: AD8AC4945:['P9970E95A', 'P9AC10470', 'P7F7B5E1F', 'PC71EE124', 'PCE41E1C1', 'P5154FB1A']
INFO: A4D111AC4:['PFF1D09E8', 'P2DC76083', 'PDB9ABBFE', 'P57E2A9BE', 'P82BD1024', 'P4D130359']
INFO: AA917E40F:['P64FEFEF4', 'P1EE76963', 'PA78A046B', 'PB2ED7246', 'PD7DF483F', 'P699A7206']
INFO: ADF340025:['P138993A1', 'P40646F3E', 'P3414263A', 'P1A893209', 'PB9884F81', 'P6E62E6D1']
INFO: ADF2448DE:['P22B0A0D4', 'P8F033770', 'PCEE4DECC', 'P9B9BCA9F', 'P89374C8E', 'PEA6155B1']
INFO: AED195F67:['PCAAEB36B', 'P5113811F', 'PCF053EFF', 'P1005B988', 'PEF9C3BE8', 'P952B555D']
INFO: A7C7644FF:['P03332350', 'PD9845435', 'PCF8898DB', 'PB3CC0AA5', 'P7F0B4E08', 'P8762A3D2']
INFO: A3627C1B2:['PF746524F', 'P29F93957', 'P927922C9', 'PEF0644CA', 'PAB25FD82', 'PC6B84F6C']
INFO: AAD51C6CD:['P41C4147D', 'P52955834', 'PF95E657E', 'P218627DB', 'P194B749C', 'PB5CACAA8']
INFO: A7ED76532:['P34707B42', 'P49931E0E', 'P5A2A4ACC', 'P40A14CA3', 'P83916112', 'P8C447C8F']
INFO: AA2141886:['PD1DDB4B5', 'P09DF7B9B', 'P9344707E', 'P27E74C3D', 'PFEBF0DDD', 'PF4DADAF9']
INFO: A73754F85:['P1AB8F31D', 'PB98A69B6', 'PF5FD51F4', 'PF98FA8BF', 'P53585277', 'P94AAF6F1']
INFO: A477CB214:['P7D888798', 'P54EEA41A', 'PF3E07111', 'P61034F48', 'P31F142D7', 'P9BAC2BF0']
INFO: A32B7C113:['P28E8DD4F', 'P20AC4411', 'P9C0DC349', 'P9DCDEE3E', 'PDDCF678F', 'PFE3DF5EB']
INFO: A922DD3ED:['P106BB9CD', 'PA26BC7C5', 'P73C85886', 'PDDC7C29C', 'PE9BA797B', 'P116A6489']
INFO: AC68B9BDF:['PC24BB1E4', 'P10169E31', 'PAF9F002E', 'PBA32393F', 'P089D099A', 'P22908D59']
